time	V(n001)	V(n006)
1.848812938878185e-01	-3.017675e+01	3.017675e+01
1.852558618509002e-01	-3.017806e+01	3.017806e+01
1.857164515299477e-01	-3.017862e+01	3.017862e+01
1.864628199982028e-01	-3.017866e+01	3.017866e+01
1.874393824982028e-01	-3.017866e+01	3.017866e+01
1.884159449982028e-01	-3.017866e+01	3.017866e+01
1.893925074982028e-01	-3.017866e+01	3.017866e+01
1.903690699982028e-01	-3.017866e+01	3.017866e+01
1.913456324982028e-01	-3.017866e+01	3.017866e+01
1.923221949982028e-01	-3.017866e+01	3.017866e+01
1.932987574982028e-01	-3.017866e+01	3.017866e+01
1.940501641615782e-01	-3.017866e+01	3.017866e+01
1.943890255886528e-01	-3.017868e+01	3.017868e+01
1.947309617985982e-01	-3.017887e+01	3.017887e+01
1.951998022919800e-01	-3.017943e+01	3.017943e+01
1.956252593523108e-01	-3.017984e+01	3.017984e+01
1.963155998197593e-01	-3.018001e+01	3.018001e+01
1.972921623197593e-01	-3.018001e+01	3.018001e+01
1.982687248197593e-01	-3.018001e+01	3.018001e+01
1.992452873197593e-01	-3.018001e+01	3.018001e+01
2.002218498197593e-01	-3.018001e+01	3.018001e+01
2.011984123197593e-01	-3.018001e+01	3.018001e+01
2.021749748197593e-01	-3.018001e+01	3.018001e+01
2.031515373197593e-01	-3.018001e+01	3.018001e+01
2.032566630814311e-01	-3.018001e+01	3.018001e+01
2.034669146047746e-01	-3.018001e+01	3.018001e+01
2.038874176514616e-01	-3.018001e+01	3.018001e+01
2.043578471044945e-01	-3.018001e+01	3.018001e+01
2.046946597338420e-01	-3.018054e+01	3.018054e+01
2.050647634193024e-01	-3.018220e+01	3.018220e+01
2.054054526683343e-01	-3.018357e+01	3.018357e+01
2.059595177634481e-01	-3.018418e+01	3.018418e+01
2.068533115975838e-01	-3.018418e+01	3.018418e+01
2.078298740975838e-01	-3.018418e+01	3.018418e+01
2.088064365975838e-01	-3.018418e+01	3.018418e+01
2.097829990975838e-01	-3.018418e+01	3.018418e+01
2.107595615975838e-01	-3.018418e+01	3.018418e+01
2.117361240975838e-01	-3.018418e+01	3.018418e+01
2.127126865975838e-01	-3.018418e+01	3.018418e+01
2.136892490975838e-01	-3.018418e+01	3.018418e+01
2.141988403291764e-01	-3.018418e+01	3.018418e+01
2.145007718921940e-01	-3.018445e+01	3.018445e+01
2.148665041735359e-01	-3.018539e+01	3.018539e+01
2.152503574887735e-01	-3.018637e+01	3.018637e+01
2.157074996036414e-01	-3.018680e+01	3.018680e+01
2.164483835276059e-01	-3.018684e+01	3.018684e+01
2.174249460276059e-01	-3.018684e+01	3.018684e+01
2.184015085276059e-01	-3.018684e+01	3.018684e+01
2.193780710276059e-01	-3.018684e+01	3.018684e+01
2.203546335276059e-01	-3.018684e+01	3.018684e+01
2.213311960276059e-01	-3.018684e+01	3.018684e+01
2.223077585276059e-01	-3.018684e+01	3.018684e+01
2.232843210276059e-01	-3.018684e+01	3.018684e+01
2.240445596604543e-01	-3.018684e+01	3.018684e+01
2.243848280068442e-01	-3.018685e+01	3.018685e+01
2.247258949725226e-01	-3.018709e+01	3.018709e+01
2.251501638015392e-01	-3.018786e+01	3.018786e+01
2.255444795081226e-01	-3.018847e+01	3.018847e+01
2.261849202161118e-01	-3.018874e+01	3.018874e+01
2.271614827161118e-01	-3.018874e+01	3.018874e+01
2.281380452161118e-01	-3.018874e+01	3.018874e+01
2.291146077161118e-01	-3.018874e+01	3.018874e+01
2.300911702161118e-01	-3.018874e+01	3.018874e+01
2.310677327161118e-01	-3.018874e+01	3.018874e+01
2.320442952161118e-01	-3.018874e+01	3.018874e+01
2.330208577161118e-01	-3.018874e+01	3.018874e+01
2.339974202161118e-01	-3.018874e+01	3.018874e+01
2.343495675121490e-01	-3.018874e+01	3.018874e+01
2.346834084553375e-01	-3.018922e+01	3.018922e+01
2.350447860085832e-01	-3.019072e+01	3.019072e+01
2.353729249592587e-01	-3.019195e+01	3.019195e+01
2.359067049550196e-01	-3.019250e+01	3.019250e+01
2.367687314970573e-01	-3.019250e+01	3.019250e+01
2.377452939970573e-01	-3.019250e+01	3.019250e+01
2.387218564970573e-01	-3.019250e+01	3.019250e+01
2.396984189970573e-01	-3.019250e+01	3.019250e+01
2.406749814970573e-01	-3.019250e+01	3.019250e+01
2.416515439970573e-01	-3.019250e+01	3.019250e+01
2.426281064970573e-01	-3.019250e+01	3.019250e+01
2.436046689970573e-01	-3.019250e+01	3.019250e+01
2.441670306490621e-01	-3.019250e+01	3.019250e+01
2.444768023257472e-01	-3.019263e+01	3.019263e+01
2.448373288584564e-01	-3.019308e+01	3.019308e+01
2.452394936671667e-01	-3.019362e+01	3.019362e+01
2.456898300418786e-01	-3.019387e+01	3.019387e+01
2.464198782265904e-01	-3.019390e+01	3.019390e+01
2.473964407265904e-01	-3.019390e+01	3.019390e+01
2.483730032265904e-01	-3.019390e+01	3.019390e+01
2.493495657265904e-01	-3.019390e+01	3.019390e+01
2.503261282265904e-01	-3.019390e+01	3.019390e+01
2.513026907265904e-01	-3.019390e+01	3.019390e+01
2.522792532265904e-01	-3.019390e+01	3.019390e+01
2.532558157265904e-01	-3.019390e+01	3.019390e+01
2.540334654088844e-01	-3.019390e+01	3.019390e+01
2.543765221304947e-01	-3.019391e+01	3.019391e+01
2.547158746824380e-01	-3.019414e+01	3.019414e+01
2.551377926947023e-01	-3.019491e+01	3.019491e+01
2.555243433606987e-01	-3.019572e+01	3.019572e+01
2.556028391990127e-01	-3.019579e+01	3.019579e+01
2.557598308756405e-01	-3.019579e+01	3.019579e+01
2.560738142288961e-01	-3.019579e+01	3.019579e+01
2.567017809354074e-01	-3.019579e+01	3.019579e+01
2.576783434354074e-01	-3.019579e+01	3.019579e+01
2.586549059354074e-01	-3.019579e+01	3.019579e+01
2.596314684354074e-01	-3.019579e+01	3.019579e+01
2.606080309354074e-01	-3.019579e+01	3.019579e+01
2.615845934354074e-01	-3.019579e+01	3.019579e+01
2.625611559354074e-01	-3.019579e+01	3.019579e+01
